objid,ra,dec,method_a_score,method_a_is_anomaly,method_b_score,method_b_is_anomaly,method_a_score_norm,method_b_score_norm,combined_score,both_flagged,only_a_flagged,only_b_flagged
12376400000000002746,183.91052910837664,54.59571122973581,-0.14848276349549483,True,-0.09995921367100868,True,0.12415937031311834,0.11946825769198158,0.12181381400254995,True,False,False
12376400000000005972,148.17477817762963,8.523016290451224,-0.13489826475218014,True,-0.0976832179731626,True,0.15294548706924005,0.12565036335648896,0.1392979252128645,True,False,False
12376400000000002632,54.61002507077805,-9.741180665574946,-0.1709198645077138,True,-0.05643376252800303,True,0.07661422186040229,0.23769297064555153,0.15715359625297692,True,False,False
12376400000000006748,151.65159391892024,3.4334072681349035,-0.20707499475331514,True,-0.018618208948932402,True,0.0,0.34040834405723863,0.17020417202861932,True,False,False
12376400000000003040,48.03963202321367,-14.758873511101122,-0.1478300021522415,True,-0.06405420167551978,True,0.12554259869686862,0.21699417931458356,0.1712683890057261,True,False,False
12376400000000001340,146.33224659081364,9.893889095960803,-0.19898986742224922,True,-0.007279740821017233,True,0.017132720443933335,0.37120612109467166,0.1941694207693025,True,False,False
12376400000000001340,146.33224659081364,9.893889095960803,-0.19898986742224922,True,0.003582143528389037,False,0.017132720443933335,0.4007093916093022,0.20892105602661776,False,True,False
12376400000000001336,52.64807205963056,-12.73536292938762,-0.09823316119230396,True,-0.07320261420093221,True,0.2306403635525776,0.19214507571209208,0.21139271963233486,True,False,False
12376400000000005788,147.00238991775947,16.699011024635766,-0.1393824517346851,True,-0.030678881240691624,True,0.14344330870596447,0.3076489014259487,0.22554610506595657,True,False,False
12376400000000006274,179.7711580754514,48.00757557692192,-0.17386089633156432,True,0.0024608534300694096,False,0.07038205333769586,0.39766372070801803,0.23402288702285695,False,True,False
12376400000000006742,251.11675830219795,44.40292787883112,-0.1810249067422871,True,0.017544178427331247,False,0.05520121788532953,0.43863335390786234,0.24691728589659595,False,True,False
12376400000000002769,128.119893423043,26.157757263295643,-0.16759775030924862,True,0.008015884930374195,False,0.0836539197543898,0.4127524099076728,0.2482031648310313,False,True,False
12376400000000003237,199.7906799922464,27.24348206105239,-0.19299090424282006,True,0.031260381645719315,False,0.029844772449805615,0.4758895832110099,0.25286717783040774,False,True,False
12376400000000004848,42.34559892286055,-5.1550418171469925,-0.11993490535619133,True,-0.025064735487378753,True,0.18465346678757322,0.32289815795827476,0.253775812372924,True,False,False
12376400000000003346,178.16231451320365,38.68230383729015,-0.09029348724743869,True,-0.042298159345353414,True,0.24746486223309802,0.2760883826357354,0.2617766224344167,True,False,False
12376400000000000191,194.9795093516684,-4.449107372586042,-0.11661608867415751,True,-0.012394818713504674,True,0.19168617710735633,0.3573124428054426,0.2744993099563995,True,False,False
12376400000000002809,112.7621510056338,26.800511352525763,-0.18132800947169558,True,0.03859839694003031,False,0.0545589306193275,0.49582124914523495,0.2751900898822812,False,True,False
