objid,ra,dec,processed_path,mean_flux,std_flux,quality_pass,error,raw_path,embedding_idx,embedding_dim,method_a_score,method_a_anomaly
12376400000000006826,180.49769518595983,43.02995613271701,/Users/a/Desktop/astro1/data/processed/12376400000000006826.npy,0.3039042353630066,0.1196766644716262,True,,/Users/a/Desktop/astro1/data/raw/12376400000000006826.jpg,4712,24,-0.20441778307172165,True
12376400000000001386,177.5391382102754,54.2642128723,/Users/a/Desktop/astro1/data/processed/12376400000000001386.npy,0.2491337805986404,0.2344358712434768,True,,/Users/a/Desktop/astro1/data/raw/12376400000000001386.jpg,655,24,-0.17880560585557526,True
12376400000000002885,190.9676973786796,11.529162238856646,/Users/a/Desktop/astro1/data/processed/12376400000000002885.npy,0.1760603040456771,0.0670858845114708,True,,/Users/a/Desktop/astro1/data/raw/12376400000000002885.jpg,1693,24,-0.17538281047804827,True
12376400000000003314,179.02295521846986,35.3554935637361,/Users/a/Desktop/astro1/data/processed/12376400000000003314.npy,0.1925784051418304,0.1339927613735199,True,,/Users/a/Desktop/astro1/data/raw/12376400000000003314.jpg,1977,24,-0.17421994389452244,True
12376400000000002848,43.44516346836403,-4.237139329056936,/Users/a/Desktop/astro1/data/processed/12376400000000002848.npy,0.1602156311273574,0.1843025088310241,True,,/Users/a/Desktop/astro1/data/raw/12376400000000002848.jpg,1665,24,-0.16785919555711803,True
12376400000000005741,186.5642185666056,12.995526525374508,/Users/a/Desktop/astro1/data/processed/12376400000000005741.npy,0.1577357947826385,0.0630275458097457,True,,/Users/a/Desktop/astro1/data/raw/12376400000000005741.jpg,4015,24,-0.16437783079621693,True
12376400000000002711,287.92988918998753,17.897527666750285,/Users/a/Desktop/astro1/data/processed/12376400000000002711.npy,0.2103118449449539,0.182354524731636,True,,/Users/a/Desktop/astro1/data/raw/12376400000000002711.jpg,1575,24,-0.1613104894962536,True
12376400000000006817,129.68723151278004,23.7030527338532,/Users/a/Desktop/astro1/data/processed/12376400000000006817.npy,0.2074009925127029,0.167826697230339,True,,/Users/a/Desktop/astro1/data/raw/12376400000000006817.jpg,4707,24,-0.157973032916784,True
12376400000000006365,192.2083878402665,14.152845866527526,/Users/a/Desktop/astro1/data/processed/12376400000000006365.npy,0.2092657387256622,0.1119742766022682,True,,/Users/a/Desktop/astro1/data/raw/12376400000000006365.jpg,4407,24,-0.14862196218262658,True
12376400000000001936,49.02954434486252,-5.950678444038678,/Users/a/Desktop/astro1/data/processed/12376400000000001936.npy,0.1284154057502746,0.0921946093440055,True,,/Users/a/Desktop/astro1/data/raw/12376400000000001936.jpg,1023,24,-0.14403624999213915,True
12376400000000002823,294.3566673136602,13.113178573498484,/Users/a/Desktop/astro1/data/processed/12376400000000002823.npy,0.1974261999130249,0.16395965218544,True,,/Users/a/Desktop/astro1/data/raw/12376400000000002823.jpg,1651,24,-0.1437692473161588,True
12376400000000003127,298.3821201573336,16.77894195746701,/Users/a/Desktop/astro1/data/processed/12376400000000003127.npy,0.1908320784568786,0.1587630361318588,True,,/Users/a/Desktop/astro1/data/raw/12376400000000003127.jpg,1844,24,-0.13889997687363176,True
12376400000000006390,248.17549253732096,39.9705116083064,/Users/a/Desktop/astro1/data/processed/12376400000000006390.npy,0.144589826464653,0.164152592420578,True,,/Users/a/Desktop/astro1/data/raw/12376400000000006390.jpg,4421,24,-0.13859149440418395,True
12376400000000006055,295.03243689758216,13.002510767864187,/Users/a/Desktop/astro1/data/processed/12376400000000006055.npy,0.1759776920080185,0.1437393277883529,True,,/Users/a/Desktop/astro1/data/raw/12376400000000006055.jpg,4209,24,-0.13723058422660894,True
12376400000000005504,53.493985888341896,-13.054759296071786,/Users/a/Desktop/astro1/data/processed/12376400000000005504.npy,0.1887542158365249,0.2334655076265335,True,,/Users/a/Desktop/astro1/data/raw/12376400000000005504.jpg,3882,24,-0.13529524802455017,True
12376400000000006803,0.6546443763199772,-5.20130478504182,/Users/a/Desktop/astro1/data/processed/12376400000000006803.npy,0.123048260807991,0.1516735106706619,True,,/Users/a/Desktop/astro1/data/raw/12376400000000006803.jpg,4699,24,-0.12862818554139,True
12376400000000002446,253.3708424389164,34.10487544579982,/Users/a/Desktop/astro1/data/processed/12376400000000002446.npy,0.1447576433420181,0.1999860107898712,True,,/Users/a/Desktop/astro1/data/raw/12376400000000002446.jpg,1387,24,-0.12532305752818773,True
12376400000000005879,285.23922092164213,17.226541080750575,/Users/a/Desktop/astro1/data/processed/12376400000000005879.npy,0.1724442988634109,0.1921018660068512,True,,/Users/a/Desktop/astro1/data/raw/12376400000000005879.jpg,4101,24,-0.12488251552314089,True
12376400000000004901,185.5928499841725,6.141260436141531,/Users/a/Desktop/astro1/data/processed/12376400000000004901.npy,0.1472907811403274,0.166572630405426,True,,/Users/a/Desktop/astro1/data/raw/12376400000000004901.jpg,3475,24,-0.1216495260595587,True
12376400000000002081,122.8825409865848,38.73217408672853,/Users/a/Desktop/astro1/data/processed/12376400000000002081.npy,0.1017235442996025,0.0448790565133094,True,,/Users/a/Desktop/astro1/data/raw/12376400000000002081.jpg,1120,24,-0.12152696287004883,True
12376400000000004481,124.69144177120484,20.61039991407059,/Users/a/Desktop/astro1/data/processed/12376400000000004481.npy,0.1413009911775589,0.1672549098730087,True,,/Users/a/Desktop/astro1/data/raw/12376400000000004481.jpg,3068,24,-0.11907107980561304,True
12376400000000000191,194.9795093516684,-4.449107372586042,/Users/a/Desktop/astro1/data/processed/12376400000000000191.npy,0.1417357325553894,0.1661852598190307,True,,/Users/a/Desktop/astro1/data/raw/12376400000000000191.jpg,35,24,-0.1184315207478277,True
12376400000000003240,40.02564587613573,-9.482649841988414,/Users/a/Desktop/astro1/data/processed/12376400000000003240.npy,0.1016203686594963,0.0909259319305419,True,,/Users/a/Desktop/astro1/data/raw/12376400000000003240.jpg,1928,24,-0.11465727749232446,True
12376400000000001394,178.2400719692021,53.58876925632213,/Users/a/Desktop/astro1/data/processed/12376400000000001394.npy,0.0933266654610633,0.0472608804702758,True,,/Users/a/Desktop/astro1/data/raw/12376400000000001394.jpg,661,24,-0.1138510498448766,True
12376400000000001091,118.11763466337835,19.24140284117649,/Users/a/Desktop/astro1/data/processed/12376400000000001091.npy,0.1584248691797256,0.1661627739667892,True,,/Users/a/Desktop/astro1/data/raw/12376400000000001091.jpg,542,24,-0.11359768904839818,True
12376400000000001825,120.9581351858419,36.3381781122792,/Users/a/Desktop/astro1/data/processed/12376400000000001825.npy,0.2136299461126327,0.2632009088993072,True,,/Users/a/Desktop/astro1/data/raw/12376400000000001825.jpg,952,24,-0.11171626124486167,True
12376400000000003567,292.7500129137768,13.808191242445275,/Users/a/Desktop/astro1/data/processed/12376400000000003567.npy,0.1399055421352386,0.139331430196762,True,,/Users/a/Desktop/astro1/data/raw/12376400000000003567.jpg,2175,24,-0.10859218734692133,True
12376400000000002701,192.93644745477064,19.179614413456,/Users/a/Desktop/astro1/data/processed/12376400000000002701.npy,0.1162563264369964,0.0516079775989055,True,,/Users/a/Desktop/astro1/data/raw/12376400000000002701.jpg,1569,24,-0.10576343573581148,True
12376400000000003491,-9.247060444939894,9.479795631730456,/Users/a/Desktop/astro1/data/processed/12376400000000003491.npy,0.1291896998882293,0.1667930632829666,True,,/Users/a/Desktop/astro1/data/raw/12376400000000003491.jpg,2100,24,-0.10050461888081297,True
12376400000000001375,297.85737115636664,17.755705482833793,/Users/a/Desktop/astro1/data/processed/12376400000000001375.npy,0.1600485295057296,0.1638417392969131,True,,/Users/a/Desktop/astro1/data/raw/12376400000000001375.jpg,647,24,-0.10002064905213293,True
12376400000000006659,-6.173481228628999,1.3051948380694114,/Users/a/Desktop/astro1/data/processed/12376400000000006659.npy,0.1103132963180542,0.0607551708817482,True,,/Users/a/Desktop/astro1/data/raw/12376400000000006659.jpg,4601,24,-0.09939006282525131,True
12376400000000005431,297.197938564976,20.75464287714412,/Users/a/Desktop/astro1/data/processed/12376400000000005431.npy,0.1490066796541214,0.1577681005001068,True,,/Users/a/Desktop/astro1/data/raw/12376400000000005431.jpg,3832,24,-0.09709420248032985,True
12376400000000002203,7.975162591136137,-9.390304859817531,/Users/a/Desktop/astro1/data/processed/12376400000000002203.npy,0.1085144281387329,0.155258759856224,True,,/Users/a/Desktop/astro1/data/raw/12376400000000002203.jpg,1204,24,-0.09592730115604786,True
12376400000000004731,-6.980883814115342,-3.5370833342731327,/Users/a/Desktop/astro1/data/processed/12376400000000004731.npy,0.1452228873968124,0.1666568517684936,True,,/Users/a/Desktop/astro1/data/raw/12376400000000004731.jpg,3311,24,-0.09592609283551079,True
12376400000000003431,293.8830141726602,13.052236250114229,/Users/a/Desktop/astro1/data/processed/12376400000000003431.npy,0.1581274271011352,0.1684042513370514,True,,/Users/a/Desktop/astro1/data/raw/12376400000000003431.jpg,2048,24,-0.09459217427414457,True
12376400000000005702,243.974862408626,35.89153853404082,/Users/a/Desktop/astro1/data/processed/12376400000000005702.npy,0.11119394749403,0.1197073236107826,True,,/Users/a/Desktop/astro1/data/raw/12376400000000005702.jpg,3998,24,-0.09268760531115328,True
12376400000000001513,116.0688625353582,38.6939472706148,/Users/a/Desktop/astro1/data/processed/12376400000000001513.npy,0.1290346980094909,0.1771052181720733,True,,/Users/a/Desktop/astro1/data/raw/12376400000000001513.jpg,745,24,-0.09210248624755946,True
12376400000000006180,152.18095527297254,11.803050198013242,/Users/a/Desktop/astro1/data/processed/12376400000000006180.npy,0.1239087209105491,0.0890191346406936,True,,/Users/a/Desktop/astro1/data/raw/12376400000000006180.jpg,4295,24,-0.09024659027028681,True
12376400000000004691,4.367794235598133,2.302862809891192,/Users/a/Desktop/astro1/data/processed/12376400000000004691.npy,0.0794952660799026,0.1305424273014068,True,,/Users/a/Desktop/astro1/data/raw/12376400000000004691.jpg,3271,24,-0.08078442292705235,True
12376400000000005377,117.36404333907656,23.27418689706129,/Users/a/Desktop/astro1/data/processed/12376400000000005377.npy,0.1386244446039199,0.2059722244739532,True,,/Users/a/Desktop/astro1/data/raw/12376400000000005377.jpg,3806,24,-0.07709587493553605,True
12376400000000004021,197.86923772566672,11.005851982198012,/Users/a/Desktop/astro1/data/processed/12376400000000004021.npy,0.1093458160758018,0.1608870774507522,True,,/Users/a/Desktop/astro1/data/raw/12376400000000004021.jpg,2618,24,-0.0758032853436309,True
