objid,ra,dec,method_a_score,method_a_anomaly
12376400000000006826,180.49769518595983,43.02995613271701,-0.20441778307172165,True
12376400000000001386,177.5391382102754,54.2642128723,-0.17880560585557526,True
12376400000000002885,190.9676973786796,11.529162238856646,-0.17538281047804827,True
12376400000000003314,179.02295521846986,35.3554935637361,-0.17421994389452244,True
12376400000000002848,43.44516346836403,-4.237139329056936,-0.16785919555711803,True
12376400000000005741,186.5642185666056,12.995526525374508,-0.16437783079621693,True
12376400000000002711,287.92988918998753,17.897527666750285,-0.1613104894962536,True
12376400000000006817,129.68723151278004,23.7030527338532,-0.157973032916784,True
12376400000000006365,192.2083878402665,14.152845866527526,-0.14862196218262658,True
12376400000000001936,49.02954434486252,-5.950678444038678,-0.14403624999213915,True
12376400000000002823,294.3566673136602,13.113178573498484,-0.1437692473161588,True
12376400000000003127,298.3821201573336,16.77894195746701,-0.13889997687363176,True
12376400000000006390,248.17549253732096,39.9705116083064,-0.13859149440418395,True
12376400000000006055,295.03243689758216,13.002510767864187,-0.13723058422660894,True
12376400000000005504,53.493985888341896,-13.054759296071786,-0.13529524802455017,True
12376400000000006803,0.6546443763199772,-5.20130478504182,-0.12862818554139,True
12376400000000002446,253.3708424389164,34.10487544579982,-0.12532305752818773,True
12376400000000005879,285.23922092164213,17.226541080750575,-0.12488251552314089,True
12376400000000004901,185.5928499841725,6.141260436141531,-0.1216495260595587,True
12376400000000002081,122.8825409865848,38.73217408672853,-0.12152696287004883,True
12376400000000004481,124.69144177120484,20.61039991407059,-0.11907107980561304,True
12376400000000000191,194.9795093516684,-4.449107372586042,-0.1184315207478277,True
12376400000000003240,40.02564587613573,-9.482649841988414,-0.11465727749232446,True
12376400000000001394,178.2400719692021,53.58876925632213,-0.1138510498448766,True
12376400000000001091,118.11763466337835,19.24140284117649,-0.11359768904839818,True
12376400000000001825,120.9581351858419,36.3381781122792,-0.11171626124486167,True
12376400000000003567,292.7500129137768,13.808191242445275,-0.10859218734692133,True
12376400000000002701,192.93644745477064,19.179614413456,-0.10576343573581148,True
12376400000000003491,-9.247060444939894,9.479795631730456,-0.10050461888081297,True
12376400000000001375,297.85737115636664,17.755705482833793,-0.10002064905213293,True
12376400000000006659,-6.173481228628999,1.3051948380694114,-0.09939006282525131,True
12376400000000005431,297.197938564976,20.75464287714412,-0.09709420248032985,True
12376400000000002203,7.975162591136137,-9.390304859817531,-0.09592730115604786,True
12376400000000004731,-6.980883814115342,-3.5370833342731327,-0.09592609283551079,True
12376400000000003431,293.8830141726602,13.052236250114229,-0.09459217427414457,True
12376400000000005702,243.974862408626,35.89153853404082,-0.09268760531115328,True
12376400000000001513,116.0688625353582,38.6939472706148,-0.09210248624755946,True
12376400000000006180,152.18095527297254,11.803050198013242,-0.09024659027028681,True
12376400000000004691,4.367794235598133,2.302862809891192,-0.08078442292705235,True
12376400000000005377,117.36404333907656,23.27418689706129,-0.07709587493553605,True
12376400000000004021,197.86923772566672,11.005851982198012,-0.0758032853436309,True
12376400000000002402,185.26566842960864,45.48749885087789,-0.07482204154978067,True
12376400000000005063,308.4210124242246,0.7474303676527825,-0.07409558884963552,True
12376400000000001847,302.2605348528681,8.888707862849373,-0.07241587816257533,True
12376400000000005435,-0.6887166388262234,3.074647853504633,-0.07101039719266256,True
12376400000000005750,256.9670424083806,31.241287416838787,-0.07056758670465368,True
12376400000000001845,190.5436279556288,10.872189388036285,-0.0664715051727337,True
12376400000000006695,297.6942528499486,21.495031817825705,-0.06557230460274432,True
12376400000000006607,297.91729004243274,22.246399894517587,-0.06457179644815159,True
12376400000000002422,253.24645410085745,31.971238911190333,-0.06428367266392254,True
12376400000000001951,287.88055717894247,17.616070068370025,-0.06263917888303416,True
12376400000000006235,-1.820229773607388,-9.133252083314092,-0.0620041719331037,True
12376400000000004071,286.0938264005622,19.257309877311325,-0.059823144270019335,True
12376400000000002863,294.4508222069445,11.800969387571271,-0.059684780948866645,True
12376400000000001801,113.74479670884796,32.070729650434295,-0.05912529614627837,True
12376400000000003239,293.69274467906746,12.201372962905705,-0.05781145647548369,True
12376400000000003238,250.30945641925456,36.55802484598888,-0.05709825063455598,True
12376400000000005767,297.9132374760745,17.240507260494862,-0.055547757979861556,True
12376400000000003291,-5.283253890885198,8.740632391798236,-0.05254299785955485,True
12376400000000002032,40.558999419577496,-3.038193800936316,-0.05059857246496435,True
12376400000000004221,205.81594972400583,29.029669931397407,-0.04942150321069638,True
12376400000000003118,250.4613540249128,36.59097297996658,-0.047031867113121684,True
12376400000000004611,1.182369959225376,8.299579620089425,-0.046724130400174646,True
12376400000000000601,49.89854322996269,68.83836502156281,-0.04151360525076142,True
12376400000000003488,40.959506889190806,-11.826031902499782,-0.038854783383797886,True
12376400000000003848,48.854832140296224,1.900548637866553,-0.03834400907510771,True
12376400000000000221,196.76546431140488,66.43073486393018,-0.037173579753057906,True
12376400000000005874,174.07400145511124,41.82293534010351,-0.03314119988278885,True
12376400000000001578,184.11815703810203,44.47737834030373,-0.03088764792623777,True
12376400000000005166,259.1209510616834,38.1187749678402,-0.030359893048126807,True
12376400000000002758,254.4316417119536,35.27834975654422,-0.030358972458054967,True
12376400000000006057,120.91595132026322,27.70117754136808,-0.029441792634529285,True
12376400000000006555,-6.983415424463884,5.261409546019564,-0.027666865348644487,True
12376400000000006263,287.9758100646747,17.55337308556141,-0.02613314793083288,True
12376400000000003481,115.54627414192706,38.878343081454645,-0.02534547303432233,True
12376400000000006583,310.5860865442684,4.475121953369202,-0.025042672660586573,True
12376400000000002031,287.73449695057934,16.90161069088791,-0.023765703807733907,True
12376400000000005143,289.9749518857479,14.93470731981073,-0.017859443630310112,True
12376400000000005623,296.89630472367674,12.748306336277045,-0.016308386511612927,True
12376400000000002600,49.44655910107099,3.706979483838172,-0.013942784501643324,True
12376400000000003342,249.84118001881984,48.991356336292775,-0.01391405513972932,True
12376400000000002551,288.38896872447106,-3.628021461028695,-0.013868544768260715,True
12376400000000000538,281.6687402621224,52.92120414825709,-0.012643097807212511,True
12376400000000002655,313.87401336794176,24.742510934102096,-0.01047182533174551,True
12376400000000002135,292.9206702669583,14.322078071755737,-0.009294340805327983,True
12376400000000004960,58.595365451479616,-6.097507543567808,-0.008392321404566583,True
12376400000000004527,287.32419098484473,23.87342639644255,-0.008163475523842556,True
12376400000000004730,183.78180341794,49.26728867018571,-0.006927231495275299,True
12376400000000001429,207.73240625753496,21.24289992051004,-0.005473224925200304,True
12376400000000003938,183.50352086036224,46.61134890736824,-0.003006361065330476,True
12376400000000003798,255.46575181149984,33.59544291235645,-0.002663655661898856,True
12376400000000003768,41.69629510087869,-14.050361840312352,-0.000998773316508994,True
12376400000000001370,178.6599146488479,52.532700209301495,-0.0004416919505640937,True
12376400000000001385,120.3708890480179,25.058377996230625,-0.00023648961466404828,True
12376400000000004118,254.3664651071576,39.98640100911448,-0.00011970663864935283,True
12376400000000002775,309.03599413827214,1.0350685704216112,0.0002793154901818973,False
12376400000000003541,199.81478828133555,21.580720736993825,0.005628094056600252,False
12376400000000001991,295.45088673267,3.482806914379527,0.005945689169672863,False
12376400000000005759,307.20052379094216,15.090167091190056,0.006058887393539769,False
12376400000000004268,163.26599035904263,-11.278667056150413,0.006349540217799432,False
12376400000000006750,240.54440904118,47.161508569056096,0.007877343651788493,False
12376400000000000460,315.50526081331685,45.05524650031673,0.008637893876136338,False
12376400000000004868,137.19418182200812,-0.6570429953551837,0.01146287684261682,False
12376400000000005487,304.1012586962878,8.341024933115644,0.012294295955206036,False
12376400000000004084,157.7050352848917,1.070236192132569,0.012670169746198057,False
12376400000000004824,55.27115694246362,-3.607955640732513,0.013102559425552052,False
12376400000000003042,173.8644733735224,53.88671487823072,0.01321105704672454,False
12376400000000004908,157.05307793251367,-5.296531212611348,0.013364741911319422,False
12376400000000006031,301.00458214144294,10.187857724305347,0.014065655770853946,False
12376400000000003570,170.9709819656552,45.7513087256019,0.014512508532383506,False
12376400000000000268,53.6322000377739,39.52221038096837,0.014930874764117696,False
12376400000000003079,290.8964217291192,14.938199862570098,0.01587381812828692,False
12376400000000000250,77.32056343549964,-2.7336359253098266,0.018107586035471912,False
12376400000000004031,287.66926495790807,2.232936990484248,0.018311000605192307,False
12376400000000003628,148.4293978804816,-0.407060698355167,0.01843700249920066,False
12376400000000003924,137.91530617798162,-8.739590436943303,0.019075979405267174,False
12376400000000002741,208.5100618961333,31.435125945745863,0.020960115849749217,False
12376400000000002073,111.38256475114449,32.36511279505641,0.02173273340761195,False
12376400000000001868,159.94524442483902,-6.156202498678317,0.02524035482883724,False
12376400000000002255,298.7757059478796,19.80422888596499,0.027620890169886225,False
12376400000000003990,242.4682140279485,43.54885284174066,0.027833808981065244,False
12376400000000002318,255.21164857882616,30.132132767288752,0.029797654595164702,False
12376400000000003554,170.9958842548548,53.77591294658174,0.030687165724936905,False
12376400000000001548,159.40773373559065,10.8958185330605,0.031055380088747087,False
12376400000000006656,40.39300874885906,-3.8374872566001823,0.03155893138037413,False
12376400000000000138,269.76321407472795,40.52301115139144,0.03184959675653065,False
12376400000000006409,112.52557508658468,33.10138074453795,0.033015212949081496,False
12376400000000004828,157.13628543098463,-12.27289331323236,0.03345366526100857,False
12376400000000002083,5.853963154818821,0.475845787429952,0.034359130905490254,False
12376400000000003530,170.19796247848194,49.95428275759761,0.03472037464047306,False
12376400000000001482,179.32113055985923,47.787135520485705,0.034895147740594545,False
12376400000000004040,54.68979770118647,-10.905594169556048,0.03511376792445342,False
12376400000000004284,156.869131733669,-1.5204629355035326,0.035424576579285216,False
12376400000000005944,52.20679298579642,0.0117104321424825,0.03663112077807962,False
12376400000000003461,198.35363679342424,27.98655575268054,0.0369867596714093,False
12376400000000003608,59.338917830330026,1.5654493380001495,0.03816215330493733,False
12376400000000004344,41.863182528819685,-11.476609102252578,0.03859541116182863,False
12376400000000000388,120.6138262847965,20.412924225073496,0.039199719900113394,False
12376400000000005919,300.9135951332257,9.722763477466602,0.039606380716537104,False
12376400000000006274,179.7711580754514,48.00757557692192,0.03987714958848787,False
12376400000000001930,188.68581591498324,48.14627548090474,0.039931871286125964,False
12376400000000003231,287.1357856220343,17.561768130323184,0.03998554471122495,False
12376400000000004578,182.8054875723269,48.478391955063145,0.040369415856097546,False
12376400000000002030,254.15565582831672,40.13399134232037,0.04095363849762268,False
12376400000000000258,30.46579070928683,35.7933914757362,0.041135047829497395,False
12376400000000002359,285.9980153265753,16.28486558121291,0.04139793684490134,False
12376400000000005901,209.4685569242678,22.375974937850888,0.041813086069120486,False
12376400000000002331,6.437774523928795,-0.7360263334619361,0.042113318536646016,False
12376400000000003154,178.0585214338987,43.4496631857484,0.04212020553049478,False
12376400000000000534,62.324739985264806,-29.13092997718166,0.042437479873785766,False
12376400000000004708,157.25587558419292,-10.495659605152454,0.042962414978170105,False
12376400000000004648,47.38708343431896,-6.321090583887543,0.043033819799360495,False
12376400000000000604,105.11819051703144,-13.868320877534464,0.04305580032392797,False
12376400000000003788,141.66306372625007,-2.201526382641511,0.04311469894811337,False
12376400000000004641,126.02114479126968,30.311074477066924,0.04458911744104588,False
12376400000000003988,156.26632444797323,14.588769107211204,0.04478207554353364,False
12376400000000000374,48.82282445884481,15.996696515797112,0.04535961126287358,False
12376400000000003039,298.83904499374324,17.504852515370935,0.04591909088428625,False
12376400000000002231,288.3722270997904,23.42261354841281,0.04610519141087566,False
12376400000000000448,207.5602303613297,51.34523085438002,0.046968651323399224,False
