objid,ensemble_score,anomaly_votes,total_methods,is_consensus_anomaly,individual_scores
12376400000000001044,0.5134899177204291,1,2,False,"{'isolation_forest': None, 'vae': 1.0269798354408581}"
12376400000000000773,0.5086953983951491,1,2,False,"{'isolation_forest': None, 'vae': 1.0173907967902982}"
12376400000000000958,0.5047279488941174,1,2,False,"{'isolation_forest': None, 'vae': 1.0094558977882349}"
12376400000000000018,0.504521956100295,1,2,False,"{'isolation_forest': None, 'vae': 1.00904391220059}"
12376400000000000201,0.5024076670814254,1,2,False,"{'isolation_forest': None, 'vae': 1.0048153341628507}"
12376400000000001186,0.5019549612047466,1,2,False,"{'isolation_forest': None, 'vae': 1.0039099224094932}"
12376400000000000908,0.5010628197523648,1,2,False,"{'isolation_forest': None, 'vae': 1.0021256395047295}"
12376400000000000703,0.5006099791518183,1,2,False,"{'isolation_forest': None, 'vae': 1.0012199583036365}"
12376400000000001357,0.49994589152660635,0,2,False,"{'isolation_forest': None, 'vae': 0.9998917830532127}"
12376400000000000987,0.49895162938245374,0,2,False,"{'isolation_forest': None, 'vae': 0.9979032587649075}"
12376400000000000115,0.49890956185474217,0,2,False,"{'isolation_forest': None, 'vae': 0.9978191237094843}"
12376400000000001307,0.4986879074112913,0,2,False,"{'isolation_forest': None, 'vae': 0.9973758148225826}"
12376400000000001064,0.4984755152337498,0,2,False,"{'isolation_forest': None, 'vae': 0.9969510304674996}"
12376400000000000781,0.4982098060855377,0,2,False,"{'isolation_forest': None, 'vae': 0.9964196121710754}"
12376400000000001213,0.4979865012747067,0,2,False,"{'isolation_forest': None, 'vae': 0.9959730025494135}"
12376400000000000123,0.4978418078407203,0,2,False,"{'isolation_forest': None, 'vae': 0.9956836156814406}"
12376400000000000946,0.4977388114438091,0,2,False,"{'isolation_forest': None, 'vae': 0.9954776228876182}"
12376400000000000073,0.49751675282875496,0,2,False,"{'isolation_forest': None, 'vae': 0.9950335056575099}"
12376400000000000921,0.49746367162485305,0,2,False,"{'isolation_forest': None, 'vae': 0.9949273432497061}"
12376400000000000189,0.4972608785228902,0,2,False,"{'isolation_forest': None, 'vae': 0.9945217570457804}"
12376400000000001267,0.4972355504357492,0,2,False,"{'isolation_forest': None, 'vae': 0.9944711008714984}"
12376400000000000934,0.4971819303363762,0,2,False,"{'isolation_forest': None, 'vae': 0.9943638606727524}"
12376400000000000873,0.4971154104266641,0,2,False,"{'isolation_forest': None, 'vae': 0.9942308208533281}"
12376400000000000835,0.4967061193163747,0,2,False,"{'isolation_forest': None, 'vae': 0.9934122386327494}"
12376400000000001057,0.49666236774031597,0,2,False,"{'isolation_forest': None, 'vae': 0.9933247354806319}"
12376400000000001291,0.4966223547515879,0,2,False,"{'isolation_forest': None, 'vae': 0.9932447095031758}"
12376400000000001014,0.49659921592729817,0,2,False,"{'isolation_forest': None, 'vae': 0.9931984318545963}"
12376400000000000979,0.4964339771034766,0,2,False,"{'isolation_forest': None, 'vae': 0.9928679542069532}"
12376400000000001347,0.4963920779805997,0,2,False,"{'isolation_forest': None, 'vae': 0.9927841559611994}"
12376400000000001139,0.49632047224487924,0,2,False,"{'isolation_forest': None, 'vae': 0.9926409444897585}"
12376400000000000036,0.49624839497562157,0,2,False,"{'isolation_forest': None, 'vae': 0.9924967899512431}"
12376400000000001063,0.4961998607022569,0,2,False,"{'isolation_forest': None, 'vae': 0.9923997214045138}"
12376400000000000683,0.4961807972749673,0,2,False,"{'isolation_forest': None, 'vae': 0.9923615945499346}"
12376400000000000819,0.4960434462917744,0,2,False,"{'isolation_forest': None, 'vae': 0.9920868925835488}"
12376400000000000932,0.4959667210490786,0,2,False,"{'isolation_forest': None, 'vae': 0.9919334420981571}"
12376400000000000660,0.4959645991481612,0,2,False,"{'isolation_forest': None, 'vae': 0.9919291982963224}"
12376400000000001010,0.49592802161806127,0,2,False,"{'isolation_forest': None, 'vae': 0.9918560432361225}"
12376400000000000782,0.49584088895658013,0,2,False,"{'isolation_forest': None, 'vae': 0.9916817779131603}"
12376400000000000822,0.49582290332023266,0,2,False,"{'isolation_forest': None, 'vae': 0.9916458066404653}"
12376400000000001070,0.4957701589260002,0,2,False,"{'isolation_forest': None, 'vae': 0.9915403178520004}"
12376400000000001156,0.4957324362430242,0,2,False,"{'isolation_forest': None, 'vae': 0.9914648724860484}"
12376400000000000791,0.4957233760629166,0,2,False,"{'isolation_forest': None, 'vae': 0.9914467521258332}"
12376400000000001260,0.49567942240105617,0,2,False,"{'isolation_forest': None, 'vae': 0.9913588448021123}"
12376400000000000711,0.49561195942426967,0,2,False,"{'isolation_forest': None, 'vae': 0.9912239188485393}"
12376400000000000823,0.49560916390401344,0,2,False,"{'isolation_forest': None, 'vae': 0.9912183278080269}"
12376400000000000110,0.4955571941720206,0,2,False,"{'isolation_forest': None, 'vae': 0.9911143883440412}"
12376400000000000723,0.4955372887205574,0,2,False,"{'isolation_forest': None, 'vae': 0.9910745774411148}"
12376400000000000171,0.49551051235183785,0,2,False,"{'isolation_forest': None, 'vae': 0.9910210247036757}"
12376400000000000132,0.4954903374526391,0,2,False,"{'isolation_forest': None, 'vae': 0.9909806749052782}"
12376400000000001131,0.49543870453031574,0,2,False,"{'isolation_forest': None, 'vae': 0.9908774090606315}"
12376400000000000095,0.49533611230500785,0,2,False,"{'isolation_forest': None, 'vae': 0.9906722246100157}"
12376400000000001205,0.4953211579556852,0,2,False,"{'isolation_forest': None, 'vae': 0.9906423159113704}"
12376400000000000706,0.49532058537924717,0,2,False,"{'isolation_forest': None, 'vae': 0.9906411707584943}"
12376400000000000930,0.4952325770126255,0,2,False,"{'isolation_forest': None, 'vae': 0.990465154025251}"
12376400000000000795,0.49515703060377275,0,2,False,"{'isolation_forest': None, 'vae': 0.9903140612075455}"
12376400000000001036,0.49510458933824275,0,2,False,"{'isolation_forest': None, 'vae': 0.9902091786764855}"
12376400000000001096,0.4950016603032654,0,2,False,"{'isolation_forest': None, 'vae': 0.9900033206065308}"
12376400000000001146,0.49496518381606636,0,2,False,"{'isolation_forest': None, 'vae': 0.9899303676321327}"
12376400000000000051,0.49496407234415724,0,2,False,"{'isolation_forest': None, 'vae': 0.9899281446883145}"
12376400000000001217,0.49486612809228747,0,2,False,"{'isolation_forest': None, 'vae': 0.9897322561845749}"
12376400000000000713,0.494826923446766,0,2,False,"{'isolation_forest': None, 'vae': 0.989653846893532}"
12376400000000001289,0.49475107390921075,0,2,False,"{'isolation_forest': None, 'vae': 0.9895021478184215}"
12376400000000001019,0.49471254288302813,0,2,False,"{'isolation_forest': None, 'vae': 0.9894250857660563}"
12376400000000001183,0.4945469672495371,0,2,False,"{'isolation_forest': None, 'vae': 0.9890939344990742}"
12376400000000000135,0.4944758330473539,0,2,False,"{'isolation_forest': None, 'vae': 0.9889516660947077}"
12376400000000001278,0.4944524247753286,0,2,False,"{'isolation_forest': None, 'vae': 0.9889048495506572}"
12376400000000001350,0.4944400975414275,0,2,False,"{'isolation_forest': None, 'vae': 0.988880195082855}"
12376400000000001046,0.49434784537297105,0,2,False,"{'isolation_forest': None, 'vae': 0.9886956907459421}"
